id,label
T(0),0
T(1),0
T(2),0
T(3),0
T(4),0
T(5),0
T(6),0
T(7),0
T(8),0
T(9),0
T(10),0
T(11),0
T(12),0
T(13),0
T(14),0
T(15),0
T(16),0
T(17),0
T(18),0
T(19),0
T(20),0
T(21),0
T(22),0
T(23),0
T(24),0
T(25),0
T(26),0
T(27),0
T(28),0
T(29),0
T(30),0
T(31),0
T(32),0
T(33),0
T(34),0
T(35),0
T(36),0
T(37),0
T(38),0
T(39),0
T(40),0
T(41),0
T(42),0
T(43),0
T(44),0
T(45),0
T(46),0
T(47),0
T(48),0
T(49),0
T(50),0
T(51),0
T(52),0
T(53),0
T(54),0
T(55),0
T(56),0
T(57),0
T(58),0
T(59),0
T(60),0
T(61),0
T(62),0
T(63),0
T(64),0
T(65),0
T(66),0
T(67),0
T(68),0
T(69),0
T(70),0
T(71),0
T(72),0
T(73),0
T(74),0
T(75),0
T(76),0
T(77),0
T(78),0
T(79),0
T(80),1
T(81),1
T(82),1
T(83),1
T(84),1
T(85),1
T(86),1
T(87),1
T(88),1
T(89),1
T(90),1
T(91),1
T(92),1
T(93),1
T(94),1
T(95),1
T(96),1
T(97),1
T(98),1
T(99),1
T(100),1
T(101),1
T(102),1
T(103),1
T(104),1
T(105),1
T(106),1
T(107),1
T(108),1
T(109),1
T(110),1
T(111),1
T(112),1
T(113),1
T(114),1
T(115),1
T(116),1
T(117),1
T(118),1
T(119),1
